Name;Type;AssetFormula
Материальные внеоборотные активы;1;{@1} - {@2} + {@8}
Нематериальные, финансовые и другие внеоборотные активы;1;{@4} - {@5} + {@9} + {@581} - {@591}
Запасы;1;{@10} - {@14} + {@20} + {@41} + {@44}
Финансовые и другие оборотные активы;1;{@19} + {@580} - {@590} + {@60А} + {@62А} - {@63} + {@66А} + {@68А} + {@69А} + {@71А} + {@73} + {@76А}
Денежные средства и денежные эквиваленты;1;{@51}
Кредиторская задолженность;0;{@60П} + {@62П} + {@68П} + {@69П} + {@70П} + {@71П} + {@76П}
Долгосрочные заемные средства;0;{@671}
Краткосрочные заемные средства;0;{@66П} + {@670} + {@671}
Другие долгосрочные обязательства;0;{@77}
Капитал и резервы;0;{@80} + {@82} + {@84} - {@99}
Другие краткосрочные обязательства;0;{@96}
