@Categories;Name;CategoryType;Parent
1;Возврат товара от покупателя;-1;Кредиты и другие долги
2;Возврат товара поставщику;1;Оплаты от дебиторов/покупателей
3;Возврат части подотчетной суммы;1;Расчеты за услуги и другие операции
4;Возвращен займ работником;1;Расчеты за услуги и другие операции
5;Выдан займ работнику;-1;Расчеты за услуги и другие операции
6;Выдана подотчетная сумма;-1;Расчеты за услуги и другие операции
7;Выплата по кредиту;-1;Кредиты и другие долги
8;ЗП (владелец ИП);-1;Расчеты за услуги и другие операции
9;Оплата от дебиторов/покупателей;1;Оплаты от дебиторов/покупателей
10;Оплата отчислений в ПФР/ФФОМС;-1;Расчеты за услуги и другие операции
11;Оплачена стоимость ОС;-1;Приобретение материалов и товаров
12;Покупка товара;-1;Приобретение материалов и товаров
13;Получен кредит;1;Кредиты и другие долги
14;Поступление основных средств;0;Приобретение материалов и товаров
15;Приобретен НМА;-1;Приобретение материалов и товаров
16;Приобретены материалы;-1;Приобретение материалов и товаров
17;Расходы подотчетного на приобретение материалов;0;Приобретение материалов и товаров
18;Расходы подотчетного на себестоимость готовой продукции;0;Приобретение материалов и товаров
19;Расходы подотчетного на себестоимость продукции;0;Приобретение материалов и товаров
20;Списана стоимость товара/услуги по покупной стоимости;0;Оплаты от дебиторов/покупателей
21;Транспортировка материалов;-1;Расчеты за услуги и другие операции
